date,cupID,rep,mass_mg
5/12,202,C,13.014
5/12,202,D,16.774
5/12,202,B,21.682
5/12,203,A,2.152
5/12,203,B,2.500
5/12,203,C,4.756
5/12,204,B,3.694
5/12,204,A,8.568
5/12,205,A,1.860
5/12,205,C,2.626
5/12,205,B,6.594
5/12,205,D,12.402
5/12,206,A,1.382
5/12,206,B,6.58
5/12,207,A,3.022
5/12,207,C,3.628
5/12,207,B,5.344
5/12,207,D,9.598
5/12,208,D,7.44
5/12,208,A,8.008
5/12,208,B,11.418
5/12,208,C,13.954
5/3/17,209,B,0.304
5/3/17,209,A,0.362
5/3/17,209,D,0.388
5/3/17,209,C,0.782
5/3/17,210,D,1.036
5/3/17,210,A,1.334
5/3/17,210,C,2.528
5/3/17,210,B,4.528
5/3/17,211,B,0.700
5/3/17,211,A,1.338
5/3/17,212,B,0.454
5/3/17,212,A,0.776
5/3/17,212,C,2.644
5/3/17,213,A,2.850
5/3/17,213,B,4.100
5/3/17,213,C,4.448
5/3/17,214,D,2.774
5/3/17,214,C,3.592
5/3/17,214,B,4.708
5/3/17,214,A,7.014
5/3/17,215,A,2.556
5/3/17,215,C,3.806
5/3/17,215,D,5.410
5/3/17,215,B,8.036
5/3/17,216,B,2.254
5/3/17,216,A,5.306
5/3/17,216,D,5.642
5/3/17,216,C,9.006
5/3/17,217,D,3.338
5/3/17,217,B,3.758
5/3/17,217,C,3.826
5/3/17,217,A,3.904
5/3/17,218,C,1.508
5/3/17,218,D,4.686
5/3/17,218,E,6.740
5/3/17,218,B,9.888
5/3/17,218,A,10.566
5/3/17,219,B,2.802
5/3/17,219,A,7.584
5/3/17,220,C,3.592
5/3/17,220,A,4.564
5/3/17,220,D,6.240
5/3/17,220,B,6.662
5/3/17,221,A,3.060
5/3/17,221,B,3.860
5/3/17,222,A,NA
5/3/17,223,A,0.672
5/3/17,223,D,1.518
5/3/17,223,B,1.654
5/3/17,223,C,4.518
5/3/17,224,C,3.088
5/3/17,224,B,5.006
5/3/17,224,A,6.898
5/3/17,225,A,0.362
5/3/17,225,C,0.732
5/3/17,225,B,0.904
5/3/17,225,E,3.188
5/3/17,225,D,3.852
5/12,226,B,2.280
5/12,226,C,4.190
5/12,226,A,5.564
5/12,227,B,1.228
5/12,227,D,1.950
5/12,227,C,2.788
5/12,227,A,3.996
5/12,228,A,2.458
5/12,228,C,2.756
5/12,228,B,5.264
5/12,229,A,0.074
5/12,229,C,0.542
5/12,229,E,4.856
5/12,229,D,5.408
5/12,229,B,7.396
5/12,230,A,7.262
5/12,231,A,2.492
5/12,231,D,2.994
5/12,231,C,7.768
5/12,231,B,9.250
5/12,232,C,1.866
5/12,232,B,3.560
5/12,232,A,6.110
5/12,232,D,7.028
5/12,233,C,1.838
5/12,233,B,2.868
5/12,233,A,6.490
5/12,234,B,1.242
5/12,234,A,1.862
5/2/17,235,B,1.450
5/2/17,235,C,6.880
5/2/17,235,A,8.172
5/2/17,236,D,0.394
5/2/17,236,B,1.948
5/2/17,236,C,3.696
5/2/17,236,A,6.154
5/2/17,237,D,3.968
5/2/17,237,B,7.360
5/2/17,237,C,7.690
5/2/17,237,E,7.894
5/2/17,237,A,11.638
5/2/17,238,D,3.064
5/2/17,238,A,5.840
5/2/17,238,B,5.946
5/2/17,238,C,6.808
5/3/17,239,D,3.84
5/3/17,239,C,5.904
5/3/17,239,A,6.286
5/3/17,239,E,9.96
5/3/17,239,B,12.666
5/3/17,240,E,1.418
5/3/17,240,D,4.294
5/3/17,240,A,5.012
5/3/17,240,C,8.612
5/3/17,240,B,11.922
5/3/17,241,B,4.228
5/3/17,241,A,8.426
5/3/17,241,C,12.914
5/3/17,242,A,1.246
5/3/17,242,B,30.922
5/3/17,242,C,56.068
5/3/17,243,B,5.874
5/3/17,243,E,7.958
5/3/17,243,A,9.028
5/3/17,243,C,17.288
5/3/17,243,D,17.418
5/3/17,244,A,7.060
5/3/17,244,B,7.226
5/8pm,245,E,5.984
5/8pm,245,C,8.656
5/8pm,245,D,14.344
5/8pm,245,B,19.682
5/8pm,245,A,20.730
5/8pm,246,C,5.244
5/8pm,246,B,5.826
5/8pm,246,D,6.592
5/8pm,246,A,8.418
5/8pm,247,E,1.570
5/8pm,247,D,4.026
5/8pm,247,B,4.274
5/8pm,247,A,4.548
5/8pm,247,C,5.300
5/8pm,248,B,12.428
5/8pm,248,A,15.072
5/8pm,249,A,5.682
5/8pm,249,E,20.460
5/8pm,249,D,38.250
5/8pm,249,C,40.556
5/8pm,249,B,41.748
5/8pm,250,B,3.620
5/8pm,250,A,11.564
5/8pm,251,A,6.280
5/8pm,251,B,8.350
5/8pm,251,C,9.672
5/8pm,251,E,13.656
5/8pm,251,D,14.354
5/8pm,252,C,0.476
5/8pm,252,D,0.872
5/8pm,252,E,1.124
5/8pm,252,A,4.262
5/8pm,252,B,10.406
5/8pm,253,B,21.646
5/8pm,253,C,27.136
5/8pm,253,D,28.140
5/8pm,253,A,32.152
5/8pm,254,C,1.832
5/8pm,254,A,2.528
5/8pm,254,B,3.028
5/8pm,255,E,1.052
5/8pm,255,C,4.944
5/8pm,255,D,5.214
5/8pm,255,A,6.204
5/8pm,255,B,13.376
5/8pm,256,A,2.372
5/8pm,256,C,7.270
5/8pm,256,D,7.886
5/8pm,256,B,8.222
5/8pm,257,B,9.754
5/8pm,257,A,9.828
5/8pm,257,C,11.180
5/8pm,257,D,16.986
5/8pm,258,E,17.090
5/8pm,258,D,19.008
5/8pm,258,C,26.866
5/8pm,258,B,27.432
5/8pm,258,A,35.662
5/8pm,259,D,0.494
5/8pm,259,B,1.992
5/8pm,259,A,4.126
5/8pm,259,C,7.282
5/12,260,B,0.790
5/12,260,C,8.614
5/12,260,D,8.738
5/12,260,A,10.372
5/12,287,D,1.638
5/12,287,B,2.964
5/12,287,A,5.170
5/12,287,C,7.560
5/12,287,E,8.204
5/12,288,C,1.764
5/12,288,A,3.238
5/12,288,B,5.526
5/12,288,D,5.846
5/12,288,E,7.830
5/12,289,C,3.016
5/12,289,A,3.102
5/12,289,D,4.298
5/12,289,B,4.924
5/12,290,B,0.544
5/12,290,D,1.026
5/12,290,A,1.174
5/12,290,C,1.214
5/12,291,A,1.900
5/12,291,C,2.686
5/12,291,D,4.462
5/12,291,B,4.744
5/12,292,A,3.398
5/12,292,E,6.218
5/12,292,D,7.092
5/12,292,C,7.944
5/12,292,B,12.064
5/12,293,C,7.804
5/12,293,E,8.076
5/12,293,D,10.252
5/12,293,B,10.274
5/12,293,A,15.650
5/4/17,294,C,2.200
5/4/17,294,D,2.364
5/4/17,294,E,7.364
5/4/17,294,A,9.506
5/4/17,294,B,11.956
5/4/17,295,C,2.832
5/4/17,295,A,3.488
5/4/17,295,B,4.510
5/4/17,295,E,5.004
5/4/17,295,D,6.630
5/4/17,296,E,5.800
5/4/17,296,B,8.972
5/4/17,296,D,22.978
5/4/17,296,C,26.500
5/4/17,296,A,33.018
5/4/17,297,B,17.296
5/4/17,297,A,22.984
5/4/17,297,D,37.900
5/4/17,297,C,39.212
5/4/17,298,B,17.668
5/4/17,298,C,18.016
5/4/17,298,A,19.786
5/4/17,298,D,23.584
5/4/17,298,E,42.740
5/4/17,299,D,0.506
5/4/17,299,C,3.574
5/4/17,299,A,5.144
5/4/17,299,B,5.448
5/4/17,299,E,6.418
5/4/17,300,A,0.944
5/4/17,300,B,2.536
5/4/17,300,C,5.104
5/4/17,301,B,1.452
5/4/17,301,D,1.760
5/4/17,301,A,2.120
5/4/17,301,C,4.674
5/4/17,302,B,8.490
5/4/17,302,D,9.046
5/4/17,302,A,10.858
5/4/17,302,C,13.522
5/4/17,303,A,2.066
5/4/17,303,B,3.184
5/4/17,303,C,5.608
4/4/17,304,B,4.912
4/4/17,304,C,15.736
4/4/17,304,A,16.804
4/4/17,304,D,23.556
4/4/17,304,E,24.492
4/4/17,305,B,2.488
4/4/17,305,D,6.776
4/4/17,305,C,7.500
4/4/17,305,A,8.118
4/4/17,306,A,7.634
4/4/17,306,C,8.918
4/4/17,306,B,12.166
4/4/17,307,C,1.320
4/4/17,307,B,2.246
4/4/17,307,A,2.270
4/4/17,307,E,5.060
4/4/17,307,D,5.864
4/4/17,308,C,1.374
4/4/17,308,A,3.404
4/4/17,308,B,4.264
4/4/17,309,E,3.198
4/4/17,309,C,6.284
4/4/17,309,D,9.814
4/4/17,309,B,10.158
4/4/17,309,A,10.800
4/4/17,310,D,0.814
4/4/17,310,B,0.884
4/4/17,310,A,1.546
4/4/17,310,C,2.386
5/12,311,E,6.998
5/12,311,B,7.538
5/12,311,D,9.204
5/12,311,A,9.602
5/12,311,C,15.446
5/12,312,D,1.278
5/12,312,C,3.684
5/12,312,B,4.970
5/12,312,A,6.878
4/30/17,339,D,3.414
4/30/17,339,B,5.016
4/30/17,339,A,9.234
4/30/17,339,C,9.698
4/30/17,340,D,2.370
4/30/17,340,C,2.718
4/30/17,340,E,3.964
4/30/17,340,A,5.136
4/30/17,340,B,5.490
4/30/17,341,A,0.334
4/30/17,341,C,1.200
4/30/17,341,B,1.746
4/30/17,342,A,1.000
4/30/17,342,C,1.500
4/30/17,342,B,2.588
4/30/17,343,D,0.240
4/30/17,343,C,2.176
4/30/17,343,A,2.652
4/30/17,343,B,2.754
4/30/17,344,C,0.906
4/30/17,344,A,1.090
4/30/17,344,D,1.270
4/30/17,344,B,1.626
4/30/17,345,B,0.276
4/30/17,345,C,0.724
4/30/17,345,A,0.820
4/30/17,345,D,1.114
4/30/17,346,D,2.062
4/30/17,346,A,2.716
4/30/17,346,C,4.542
4/30/17,346,B,5.966
5/3/17,347,D,0.654
5/3/17,347,A,0.746
5/3/17,347,B,1.380
5/3/17,347,C,2.754
5/3/17,348,B,0.592
5/3/17,348,C,1.908
5/3/17,348,A,3.552
5/3/17,348,D,4.078
5/8pm,349,A,2.578
5/3/17,349,B,4.402
5/3/17,349,C,5.190
5/3/17,349,A,5.700
5/3/17,350,A,3.984
5/3/17,350,C,5.616
5/3/17,350,D,6.008
5/3/17,350,B,6.074
5/3/17,350,E,6.140
5/3/17,351,C,2.192
5/3/17,351,A,2.658
5/3/17,351,B,3.640
5/3/17,351,D,6.826
5/3/17,352,C,2.182
5/3/17,352,D,3.574
5/3/17,352,B,5.814
5/3/17,352,A,7.396
5/3/17,353,A,1.814
5/3/17,353,E,2.584
5/3/17,353,C,3.728
5/3/17,353,D,6.202
5/3/17,353,B,7.436
5/3/17,354,D,0.220
5/3/17,354,C,0.496
5/3/17,354,B,0.572
5/3/17,354,A,0.960
5/3/17,355,D,1.610
5/3/17,355,A,8.564
5/3/17,355,C,8.672
5/3/17,355,B,9.010
5/3/17,356,A,1.036
5/3/17,356,D,2.578
5/3/17,356,E,6.046
5/3/17,356,C,6.434
5/3/17,356,B,3.506
5/3/17,357,B,1.830
5/3/17,357,C,7.282
5/3/17,357,A,8.560
5/3/17,357,D,8.646
5/3/17,358,E,2.642
5/3/17,358,B,3.146
5/3/17,358,C,6.758
5/3/17,358,D,6.992
5/3/17,358,A,7.196
5/3/17,359,A,0.728
5/3/17,359,D,1.148
5/3/17,359,E,1.262
5/3/17,359,C,1.904
5/3/17,359,B,2.462
5/3/17,360,B,0.546
5/3/17,360,E,2.394
5/3/17,360,A,3.352
5/3/17,360,D,4.21
5/3/17,360,C,5.106
5/3/17,361,C,3.928
5/3/17,361,B,6.48
5/3/17,361,D,9.174
5/3/17,361,A,11.104
5/3/17,362,C,2.03
5/3/17,362,D,2.782
5/3/17,362,A,3.282
5/3/17,362,B,10.214
4/25/17,363,D,1.074
4/25/17,363,B,1.130
4/25/17,363,C,1.792
4/25/17,363,A,2.582
4/25/17,363,E,3.664
4/25/17,364,E,6.752
4/25/17,364,D,6.950
4/25/17,364,C,8.840
4/25/17,364,B,9.472
4/25/17,364,A,9.902
5/11,391,A,6.586
5/11,392,A,0.038
5/11,393,B,0.840
5/11,393,A,1.616
5/11,393,C,2.600
5/11,394,B,0.306
5/11,394,A,1.590
5/11,395,A,0.380
5/11,395,B,0.468
5/11,396,A,0.086
5/11,396,B,0.090
5/11,396,C,1.004
5/11,397,A,1.956
5/11,397,C,2.816
5/11,397,B,4.130
5/11,398,B,0.590
5/11,398,A,1.146
5/11,399,B,0.628
5/11,399,C,1.396
5/11,399,A,1.538
5/11,400,A,0.878
5/11,400,C,4.632
5/11,400,B,4.712
5/11,401,A,2.766
5/11,401,B,4.720
5/11,402,C,2.540
5/11,402,B,3.210
5/11,402,A,4.186
5/11,403,B,0.650
5/11,403,A,0.870
5/11,405,A,0.014
5/11,405,B,1.272
5/11,406,A,0.456
5/11,406,B,0.458
5/11,406,C,0.766
5/11,408,A,0.522
5/11,408,B,3.126
5/11,409,B,0.110
5/11,409,A,0.714
5/11,409,C,0.804
5/11,410,A,0.198
5/11,411,B,0.552
5/11,411,A,3.160
5/11,412,B,0.652
5/11,412,C,5.024
5/11,412,A,7.524
5/11,413,C,3.406
5/11,413,B,4.192
5/11,413,A,4.876
5/11,414,A,1.834
5/11,414,B,3.408
5/11,416,A,0.108
5/11,416,B,0.468
5/11,417,B,0.596
5/11,417,A,1.494
5/11,418,A,0.178
5/11,419,A,0.032
5/11,419,B,0.282
5/11,419,C,0.286
5/11,420,A,0.162
5/11,422,A,1.276
5/11,422,B,3.986
5/11,428,B,2.228
5/11,428,A,2.77
5/11,428,C,3.488
5/11,430,B,0.168
5/11,430,A,0.502
5/11,430,C,3.882
5/11,431,B,2.698
5/11,431,A,5.294
5/11,432,A,1.946
5/11,432,B,8.05
5/11,433,B,4.526
5/11,433,A,6.076
5/11,434,B,0.104
5/11,434,A,0.198
5/11,435,B,7.616
5/11,435,C,13.178
5/11,435,A,15.802
5/11,436,B,0.862
5/11,436,A,0.954
5/11,439,B,5.906
5/11,439,C,17.624
5/11,439,A,24.294
5/11,440,B,1.2
5/11,440,A,5.068
5/11,440,C,8.086
5/11,441,C,0.024
5/11,441,B,0.254
5/11,441,A,0.55
5/11,442,A,4.702
5/11,442,B,7.722
5/11,442,C,19.69
5/11,443,A,0.190
5/11,443,B,0.238
5/11,443,C,0.260
5/11,444,A,0.828
5/11,446,B,0.032
5/11,446,A,0.840
5/11,448,B,3.004
5/11,448,A,10.788
5/11,450,B,6.558
5/11,450,A,10.070
5/11,450,C,25.088
5/11,451,C,0.974
5/11,451,B,2.536
5/11,451,A,4.476
5/11,452,A,0.142
5/11,453,C,2.710
5/11,453,A,4.132
5/11,453,B,8.112
5/11,454,A,0.040
5/11,455,A,0.374
5/11,455,C,0.790
5/11,455,B,1.692
5/11,456,A,5.438
5/11,456,B,8.098
5/11,457,C,2.452
5/11,457,A,3.394
5/11,457,B,9.384
5/11,458,B,0.494
5/11,458,C,3.910
5/11,458,A,4.880
5/12,459,B,2.684
5/12,459,A,5.280
5/12,460,B,0.100
5/12,460,A,0.192
5/12,461,A,2.648
5/12,461,B,3.282
5/12,462,C,10.32
5/12,462,A,10.516
5/12,462,B,10.984
5/6/17,463,A,3.646
5/6/17,463,B,5.246
5/6/17,463,C,7.072
5/12,464,A,3.536
5/12,464,B,5.664
5/12,464,C,7.85
5/12,465,A,0.116
5/11,466,A,0.584
5/11,467,A,0.140
5/11,467,B,0.234
5/11,469,A,0.108
5/11,469,B,0.392
5/11,470,B,0.622
5/11,470,A,1.006
5/11,472,B,0.710
5/11,472,A,1.670
5/11,473,A,6.862
5/11,473,B,9.898
5/11,474,A,2.514
5/11,475,A,2.216
5/11,476,A,0.840
5/11,476,B,1.912
5/11,477,A,0.562
5/11,477,B,1.394
5/11,478,A,0.158
5/11,480,B,0.686
5/11,480,A,0.872
5/11,481,A,0.188
5/11,483,C,0.056
5/11,483,B,1.526
5/11,483,A,2.176
5/11,484,C,1.764
5/11,484,B,1.856
5/11,484,A,1.970
5/11,485,A,0.442
5/11,485,B,0.546
5/11,486,A,0.632
5/11,486,B,3.332
5/11,487,B,3.484
5/11,487,A,6.706
5/11,487,C,7.606
5/11,488,A,0.834
5/11,488,B,1.908
5/11,489,A,2.830
5/11,491,A,0.120
5/9/2017,492,B,0.512
5/9/2017,492,A,0.708
5/9/2017,493,B,0.434
5/9/2017,493,A,0.702
5/9/2017,494,A,0.076
5/9/2017,495,A,0.084
5/9/2017,497,C,0.76
5/9/2017,497,B,1.906
5/9/2017,497,A,4.792
5/9/2017,500,A,0.194
5/9,501,C,0.372
5/9/2017,501,A,0.38
5/9,501,B,0.700
5/11,502,A,0.044
5/11,503,A,0.54
5/11,503,B,0.874
5/11,503,C,1.332
5/11,504,A,0.228
5/11,505,A,0.682
5/11,505,B,2.292
5/11,505,C,2.986
5/11,506,C,2.726
5/11,506,A,2.972
5/11,506,B,3.33
5/11,508,A,0.502
5/11,508,B,1.672
5/11,509,A,0.276
5/11,509,B,0.596
5/11,510,A,1.064
5/11,510,B,1.774
5/11,511,A,0.516
5/11,512,A,0.194
5/11,514,A,0.556
5/11,514,B,3.622
5/11,514,C,5.360
5/11,515,A,0.026
5/11,515,B,0.072
5/11,515,C,0.110
5/11,516,A,0.490
5/11,517,B,0.590
5/11,517,A,6.332
5/9,518,A,1.000
5/9,518,B,2.502
5/9,519,B,0.894
5/9,519,C,2.994
5/9,519,A,5.284
5/9,521,A,0.042
5/9,523,B,0.382
5/9,523,A,1.606
5/9,523,C,3.158
5/9,524,A,0.048
5/9,525,C,0.550
5/9,525,B,0.900
5/9,525,A,7.106
5/9,526,C,0.274
5/9,526,A,0.486
5/9,526,B,1.864
5/9,527,A,0.530
5/9,528,A,1.508
5/9,528,B,2.096
5/9,528,C,6.878
5/9,530,A,1.054
5/9,530,C,1.392
5/9,530,B,3.062
5/9,531,A,4.374
5/9,531,C,6.040
5/9,531,B,9.390
5/9,532,A,1.114
5/9,532,B,1.538
5/9,533,C,0.710
5/9,533,B,0.780
5/9,533,A,8.068
5/9,534,B,0.588
5/9,534,C,0.656
5/9,534,A,1.392
5/9,536,A,1.460
5/9,536,B,1.778
5/9,536,C,2.472
5/9,537,C,2.622
5/9,537,A,4.302
5/9,537,B,9.120
5/9,538,A,0.204
5/9,538,B,1.492
5/9,538,C,1.500
5/9,539,B,2.726
5/9,539,A,5.372
5/9,539,C,7.430
5/9,540,A,0.084
5/11,541,A,1.022
5/11,541,B,1.652
5/11,542,A,0.026
5/11,542,B,0.242
5/11,543,B,0.016
5/11,543,A,0.384
5/11,544,A,0.508
5/11,544,B,0.596
5/11,544,C,1.024
5/11,545,A,0.036
5/11,545,B,0.280
5/11,546,B,0.508
5/11,546,A,1.116
5/11,547,A,2.148
5/11,548,A,0.600
5/11,548,C,1.076
5/11,548,B,2.444
5/11,549,C,0.564
5/11,549,A,1.132
5/11,549,B,1.518
5/11,550,A,0.772
5/11,551,B,0.364
5/11,551,A,0.688
5/11,551,C,1.066
5/11,552,B,0.254
5/11,552,C,0.376
5/11,552,A,0.580
5/11,556,A,0.022
5/11,557,A,0.168
5/11,558,A,1.386
5/11,559,A,1.018
5/9,560,A,0.028
5/9,560,B,0.028
5/9,561,B,1.580
5/9,561,A,1.644
5/9,562,A,0.814
5/9,562,B,1.390
5/9,563,B,1.634
5/9,563,A,3.248
5/9,564,B,0.268
5/9,564,A,1.362
5/9,564,C,4.606
5/9,566,A,0.468
5/11,567,B,1.056
5/11,567,A,10.08
5/11,568,A,2.36
5/11,568,B,2.48
5/11,568,C,3.136
5/11,570,A,0.098
5/11,570,B,0.162
5/11,574,A,0.334
5/11,574,B,0.76
5/11,575,C,0.022
5/11,575,B,0.112
5/11,575,A,0.43
5/11,576,A,7.652
5/11,577,A,0.086
5/11,577,B,0.282
5/11,578,A,0.936
5/11,578,B,2.21
5/11,578,C,6.134
5/11,580,B,2.994
5/11,580,A,4.784
5/11,580,C,5.366
5/11,581,C,0.272
5/11,581,A,3.03
5/11,581,B,3.124
5/11,582,A,1.858
5/11,582,B,3.722
5/11,583,A,4.098
5/11,585,A,1.418
5/11,586,C,1.566
5/11,586,B,1.672
5/11,586,A,1.896
5/11,587,A,0.012
5/11,587,C,0.06
5/11,587,B,0.068
5/11,590,A,0.22
5/11,591,A,0.114
5/11,592,B,2.142
5/11,592,A,3.166
5/11,592,C,8.776
5/11,593,A,3.854
5/11,593,B,4.160
5/11,596,C,0.008
5/11,596,B,0.050
5/11,596,A,0.642
5/11,598,A,9.268
5/11,600,C,8.158
5/11,600,B,8.210
5/11,600,A,11.952
5/11,601,C,2.276
5/11,601,B,3.436
5/11,601,A,4.640
5/11,604,A,0.832
5/4/17,605,B,2.442
5/4/17,605,C,3.264
5/4/17,605,A,3.552
5/4/17,606,A,1.470
5/4/17,606,C,2.048
5/4/17,606,B,2.652
5/4/17,607,B,0.414
5/4/17,607,A,2.858
5/4/17,608,B,3.034
5/4/17,608,A,3.384
5/4/17,608,C,3.824
5/4/17,609,B,0.182
5/4/17,609,A,3.680
5/4/17,609,C,5.090
5/4/17,610,A,0.078
5/4/17,611,C,3.918
5/4/17,611,A,4.076
5/4/17,611,B,4.348
5/4/17,612,B,1.346
5/4/17,612,A,1.376
5/4/17,613,B,0.324
5/4/17,613,C,0.510
5/4/17,613,A,2.498
5/4/17,614,A,0.660
5/4/17,615,A,0.940
5/4/17,615,B,1.230
5/4/17,615,C,2.452