cupID,tray,line_pos,pop,line,age,rep,surv_d1,cons_d1,surv_d2,cons_d2,surv_d3,cons_d3,surv_d4,cons_d4,surv_d5,cons_d5,surv_d6,cons_d6,surv_d7,cons_d7,surv_d8,cons_d8,surv_d9,cons_d9
1,1,1,Whitehall,18,mature,1,5,2,5,3,5,1,5,4,5,11,5,3,5,12,5,33,,
2,1,2,MacArthur,5,mature,1,5,1,5,1,4,2,4,1,4,3,3,4,3,2,3,11,,
3,1,3,Gen Butler,3,mature,1,5,3,5,8,5,2,5,10,5,12,5,17,5,16,5,30,,
4,1,4,Center Hill,7,mature,1,5,2,5,4,5,1,5,5,5,2,5,5,5,7,5,16,,
5,1,5,KBS,9,mature,1,4,1,4,4,4,2,4,4,4,6,4,4,4,8,4,22,,
6,1,6,OCM,10,mature,1,5,2,5,6,5,2,5,5,4,8,4,9,3,7,3,12,,
7,1,7,Dalton,4,mature,1,5,1,5,3,5,1,5,2,5,4,5,2,5,9,5,27,,
8,1,8,KBS,2,mature,1,5,2,5,6,5,2,5,7,5,12,5,9,5,21,5,40,,
9,1,9,Center Hill,3,mature,1,5,1,5,4,5,2,4,2,4,6,4,2,3,1,3,7,,
10,1,10,Dalton,8,mature,1,5,2,5,5,5,4,5,7,5,11,4,15,5,23,5,50,,
11,1,11,McPhee,8,mature,1,5,5,5,8,5,3,5,7,5,15,5,40,5,20,5,80,,
12,1,12,OCM,17,mature,1,5,1,5,2,5,2,4,3,4,4,4,4,4,4,3,26,,
13,1,13,With,43,mature,1,5,1,5,1,5,1,5,1,4,1,3,1,3,1,3,1,,
14,1,14,Bella,2,mature,1,5,2,5,1,5,5,5,6,5,6,5,10,5,11,5,27,,
15,1,15,HV,3,mature,1,4,1,4,2,4,2,3,5,3,4,3,10,3,15,2,8,,
16,1,16,Whitehall,16,mature,1,5,3,5,4,5,6,5,6,5,8,5,9,5,10,5,34,,
17,1,17,Bella,3,mature,1,5,3,5,4,5,0,5,5,5,6,5,9,5,16,5,27,,
18,1,18,HV,10,mature,1,5,5,5,9,5,4,5,12,5,8,5,30,5,34,4,21,,
19,1,19,McPhee,7,mature,1,5,3,5,3,5,6,5,4,4,3,4,3,4,12,4,25,,
20,1,20,MacArthur,15,mature,1,5,2,5,2,5,4,5,5,5,3,5,7,5,9,5,11,,
21,1,21,TT,7,mature,1,5,2,5,1,5,2,5,4,5,3,5,11,5,15,5,16,,
22,1,22,KBS,8,mature,1,5,3,5,5,5,3,5,7,5,10,5,5,5,14,5,47,,
23,1,23,OCM,18,mature,1,5,3,5,2,5,0,5,1,5,2,5,6,5,12,5,17,,
24,1,24,Caesar,7,mature,1,5,6,5,10,5,7,5,15,4,12,4,34,4,28,4,60,,
25,1,25,Gav,23,mature,1,5,6,5,3,5,2,5,3,5,9,5,2,5,10,5,21,,
26,1,26,Hwy 27,6,mature,1,4,1,4,2,4,1,3,1,3,1,3,2,3,3,3,1,,
27,2,27,HV,5,mature,1,4,1,4,3,4,3,3,7,3,8,3,16,3,22,3,64,,
28,2,28,TT,25,mature,1,5,0,5,1,5,1,4,2,4,5,4,6,4,5,4,23,,
29,2,29,With,46,mature,1,5,1,4,0,4,2,3,2,3,1,3,2,3,4,3,8,,
30,2,30,With,42,mature,1,4,2,4,3,4,4,4,1,4,1,4,3,4,1,3,3,,
31,2,31,Bella,21,mature,1,5,1,4,2,4,1,5,1,4,1,3,1,3,2,3,3,,
32,2,32,Dalton,9,mature,1,5,2,5,5,5,4,5,8,5,4,4,5,4,12,3,16,,
33,2,33,Gav,22,mature,1,5,0,5,4,5,1,4,4,4,2,3,1,3,3,3,18,,
34,2,34,Tiri,12,mature,1,5,2,4,3,4,3,4,6,4,3,4,11,4,13,4,40,,
35,2,35,Hwy 27,1,mature,1,3,0,3,4,3,2,3,3,3,4,3,7,3,9,3,15,,
36,2,36,Whitehall,3,mature,1,5,1,5,3,4,1,4,1,4,3,3,3,3,6,3,9,,
37,2,37,Gav,1,mature,1,3,1,3,3,3,7,3,10,3,2,3,18,3,9,3,68,,
38,2,38,OCM,5,mature,1,5,2,5,1,5,5,5,5,5,3,4,14,4,13,4,52,,
39,2,39,Bella,13,mature,1,5,3,5,3,5,10,5,18,5,2,5,52,5,30,5,112,,
40,2,40,McPhee,6,mature,1,5,2,5,2,5,13,5,6,5,9,5,35,5,19,5,96,,
41,2,41,TT,9,mature,1,5,3,4,1,4,8,4,7,4,1,4,28,4,25,4,108,,
42,2,42,Gen Butler,7,mature,1,5,3,5,1,5,18,5,9,5,8,5,38,5,56,5,160,,
43,2,43,Gen Butler,1,mature,1,4,1,4,3,4,3,4,3,4,4,4,7,4,21,4,48,,
44,2,44,Hwy 27,2,mature,1,5,2,5,4,5,2,5,4,5,5,5,10,5,10,4,38,,
45,2,45,Whitehall,17,mature,1,5,0,5,3,5,3,5,3,5,4,5,15,5,20,5,52,,
46,2,46,Gen Butler,9,mature,1,5,1,4,3,4,10,3,3,3,3,3,17,3,21,3,60,,
47,2,47,MacArthur,22,mature,1,5,2,5,5,5,5,5,2,5,1,5,1,5,4,5,10,,
48,2,48,Tiri,16,mature,1,4,0,3,2,3,2,5,3,4,2,3,8,3,0,3,13,,
49,2,49,Caesar,10,mature,1,5,3,5,3,5,17,3,0,5,2,5,28,5,31,5,80,,
50,2,50,OCM,16,mature,1,5,1,5,2,5,10,5,8,5,4,5,18,5,25,5,44,,
51,2,51,MacArthur,16,mature,1,5,1,5,1,5,2,5,5,5,3,5,3,5,10,5,24,,
52,2,52,HV,13,mature,1,4,1,3,3,3,6,3,7,3,6,3,36,3,25,3,48,,
53,3,53,Gav,6,mature,1,5,2,5,3,5,2,5,3,5,8,5,1,5,9,5,26,,
54,3,54,KBS,5,mature,1,5,3,4,3,4,3,4,3,4,,4,2,4,4,3,9,,
55,3,55,KBS,12,mature,1,5,1,5,7,5,7,5,4,5,10,5,9,5,6,5,18,,
56,3,56,MacArthur,21,mature,1,5,0,4,3,4,1,4,1,4,5,4,5,4,8,3,14,,
57,3,57,With,48,mature,1,4,0,4,3,4,1,4,5,3,4,3,1,3,12,3,10,,
58,3,58,Tiri,5,mature,1,5,1,5,4,5,0,5,5,5,8,5,4,5,17,5,13,,
59,3,59,Tiri,1,mature,1,5,2,5,3,5,2,4,4,4,1,4,4,4,19,3,13,,
60,3,60,Caesar,9,mature,1,2,0,2,0,2,1,2,1,2,0,2,1,1,1,1,1,,
61,3,61,Hwy 27,8,mature,1,5,2,4,3,4,1,4,2,4,2,3,4,3,3,3,7,,
62,3,62,Caesar,5,mature,1,5,2,5,6,5,6,4,23,4,11,4,40,4,34,4,27,,
63,3,63,TT,10,mature,1,5,0,3,2,3,1,3,5,3,4,3,11,3,52,3,28,,
64,3,64,Tiri,22,mature,1,5,2,5,2,4,7,4,7,4,4,4,13,4,29,4,26,,
65,3,65,McPhee,2,mature,1,4,1,3,5,3,2,3,9,3,34,3,30,3,20,3,96,,
66,3,66,With,47,mature,1,5,1,5,3,5,4,5,5,5,5,4,8,4,13,4,23,,
67,3,67,Center Hill,2,mature,1,5,1,5,4,5,4,5,8,5,4,5,5,5,16,5,21,,
68,3,68,Dalton,2,mature,1,5,2,5,8,5,7,5,19,5,8,5,12,5,33,5,21,,
69,3,69,Center Hill,8,mature,1,5,3,5,5,5,3,5,17,5,13,5,28,5,66,5,36,,
70,3,70,Dalton,6,mature,1,5,2,5,5,5,3,5,13,5,13,5,20,5,26,5,27,,
71,3,71,TT,5,mature,1,4,2,4,3,4,11,4,11,4,8,4,20,4,42,4,26,,
72,3,72,Hwy 27,3,mature,1,4,1,4,2,4,4,4,7,4,5,4,4,4,18,4,9,,
73,3,73,Bella,4,mature,1,5,1,5,6,4,7,4,3,4,6,4,4,4,25,4,20,,
74,3,74,Center Hill,1,mature,1,5,3,4,4,4,7,4,16,4,6,4,11,4,18,4,24,,
75,3,75,Gen Butler,2,mature,1,5,2,5,5,5,18,5,12,5,18,5,38,5,46,5,136,,
76,3,76,Whitehall,2,mature,1,3,0,3,2,3,1,3,5,3,3,3,3,3,7,3,10,,
77,3,77,HV,7,mature,1,5,3,5,6,5,17,5,15,5,34,5,64,5,24,5,160,,
78,3,78,McPhee,1,mature,1,4,1,3,5,3,4,3,4,3,2,3,1,3,9,3,6,,
79,4,1,Whitehall,18,mature,2,5,3,5,2,5,2,5,3,4,3,4,5,4,4,4,25,,
80,4,2,MacArthur,5,mature,2,5,2,4,2,4,1,4,2,4,5,4,4,4,7,4,15,,
81,4,3,Gen Butler,3,mature,2,5,4,5,4,5,5,5,12,5,9,5,20,5,24,5,10,,
82,4,4,Center Hill,7,mature,2,5,3,5,7,5,1,5,5,5,3,3,3,3,11,3,22,,
83,4,5,KBS,9,mature,2,5,3,5,3,5,2,5,12,5,14,5,18,5,17,5,46,,
84,4,6,OCM,10,mature,2,5,2,5,3,5,2,5,2,5,10,5,6,5,5,5,13,,
85,4,7,Dalton,4,mature,2,5,6,5,4,5,7,5,19,5,15,5,21,5,30,5,32,,
86,4,8,KBS,2,mature,2,5,5,5,4,5,6,5,10,5,21,5,20,5,26,5,168,,
87,4,9,Center Hill,3,mature,2,5,3,5,3,5,7,5,12,5,25,5,24,5,13,5,50,,
88,4,10,Dalton,8,mature,2,5,4,5,2,5,9,5,4,4,20,4,22,4,13,4,76,,
89,4,11,McPhee,8,mature,2,5,8,5,7,5,5,4,9,4,6,4,16,4,16,4,34,,
90,4,12,OCM,17,mature,2,5,2,5,4,5,3,4,8,4,6,4,10,4,14,4,32,,
91,4,13,With,43,mature,2,5,3,5,3,5,3,5,14,5,10,5,18,5,38,5,36,,
92,4,14,Bella,2,mature,2,5,1,5,4,5,1,4,9,4,8,4,16,4,26,4,21,,
93,4,15,HV,3,mature,2,5,4,5,3,5,8,5,11,5,34,5,24,5,30,5,72,,
94,4,16,Whitehall,16,mature,2,4,2,4,4,4,3,4,8,4,8,4,9,4,22,4,24,,
95,4,17,Bella,3,mature,2,4,1,4,3,4,3,4,6,4,7,4,8,4,22,4,10,,
96,4,18,HV,10,mature,2,5,3,5,5,5,6,5,8,4,4,4,17,4,15,4,16,,
97,4,19,McPhee,7,mature,2,5,2,5,3,5,8,5,10,5,15,5,18,1,0,1,4,,
98,4,20,MacArthur,15,mature,2,5,2,5,0,5,3,5,1,4,1,3,3,3,1,3,1,,
99,4,21,TT,7,mature,2,5,2,4,3,4,2,4,8,4,4,4,12,4,19,4,9,,
100,4,22,KBS,8,mature,2,5,3,5,5,5,4,5,7,5,11,5,10,5,21,5,56,,
101,4,23,OCM,18,mature,2,5,2,5,4,5,4,5,6,5,6,5,16,5,15,5,30,,
102,4,24,Caesar,7,mature,2,5,2,5,9,5,7,5,7,5,14,5,20,4,26,4,29,,
103,4,25,Gav,23,mature,2,5,1,5,5,5,6,5,9,5,12,5,8,5,33,5,21,,
104,4,26,Hwy 27,6,mature,2,5,1,5,1,4,1,5,2,4,1,3,2,3,10,3,5,,
105,5,27,HV,5,mature,2,4,2,4,3,4,1,4,2,4,3,4,5,4,21,4,17,,
106,5,28,TT,25,mature,2,5,3,5,3,5,6,5,6,5,9,5,10,5,44,5,39,,
107,5,29,With,46,mature,2,5,2,5,3,5,2,4,2,4,2,4,2,4,9,4,14,,
108,5,30,With,42,mature,2,5,1,5,2,5,5,5,2,5,5,5,5,5,17,5,27,,
109,5,31,Bella,21,mature,2,5,3,5,3,4,5,4,2,4,2,4,2,4,9,4,13,,
110,5,32,Dalton,9,mature,2,5,3,5,3,5,3,5,3,5,4,5,3,5,14,3,12,,
111,5,33,Gav,22,mature,2,5,2,5,5,5,5,5,4,5,6,5,6,5,12,5,33,,
112,5,34,Tiri,12,mature,2,5,1,5,4,5,4,4,5,4,4,4,15,4,34,4,15,,
113,5,35,Hwy 27,1,mature,2,5,2,5,5,4,8,4,5,4,5,4,9,4,15,4,8,,
114,5,36,Whitehall,3,mature,2,5,2,5,3,5,9,5,8,5,2,5,13,5,27,5,22,,
115,5,37,Gav,1,mature,2,5,2,5,4,5,3,5,7,5,8,5,6,5,33,5,60,,
116,5,38,OCM,5,mature,2,5,2,5,4,4,3,4,4,4,3,4,4,4,16,4,116,,
117,5,39,Bella,13,mature,2,5,1,5,3,5,4,5,6,5,4,5,13,5,33,5,27,,
118,5,40,McPhee,6,mature,2,5,4,5,7,5,10,5,6,5,4,5,22,5,34,5,100,,
119,5,41,TT,9,mature,2,5,2,5,5,5,5,5,6,5,1,5,4,5,21,5,36,,
120,5,42,Gen Butler,7,mature,2,5,3,5,3,5,8,5,4,5,19,5,5,5,23,5,39,,
121,5,43,Gen Butler,1,mature,2,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,,
122,5,44,Hwy 27,2,mature,2,5,2,5,3,5,5,4,5,4,2,4,2,4,12,4,9,,
123,5,45,Whitehall,17,mature,2,5,1,5,4,4,3,4,9,4,6,4,12,4,20,4,22,,
124,5,46,Gen Butler,9,mature,2,5,3,5,2,5,9,5,8,5,4,5,19,5,34,5,22,,
125,5,47,MacArthur,22,mature,2,5,2,5,3,5,4,5,2,5,3,5,3,5,17,5,22,,
126,5,48,Tiri,16,mature,2,5,2,5,3,5,8,5,3,4,9,4,5,3,15,3,16,,
127,5,49,Caesar,10,mature,2,5,3,4,1,4,4,4,2,4,5,4,6,4,14,4,19,,
128,5,50,OCM,16,mature,2,5,3,5,2,4,3,4,5,4,2,4,3,4,18,4,29,,
129,5,51,MacArthur,16,mature,2,5,3,4,1,4,3,4,3,4,8,4,3,4,18,4,25,,
130,5,52,HV,13,mature,2,5,4,5,5,5,13,5,23,5,6,5,44,5,64,5,52,,
131,6,53,Gav,6,mature,2,4,2,4,3,4,12,4,9,4,11,4,17,4,18,2,12,,
132,6,54,KBS,5,mature,2,5,3,5,2,5,13,5,11,4,4,4,21,4,33,4,17,,
133,6,55,KBS,12,mature,2,5,2,5,7,5,6,5,11,5,10,5,9,5,6,5,27,,
134,6,56,MacArthur,21,mature,2,4,1,4,1,3,,2,1,2,0,2,2,2,1,2,0,,
135,6,57,With,48,mature,2,4,2,4,1,4,9,4,2,4,12,4,6,4,11,4,24,,
136,6,58,Tiri,5,mature,2,5,1,5,2,4,8,4,7,4,4,4,6,4,23,4,15,,
137,6,59,Tiri,1,mature,2,5,2,5,3,5,6,5,12,5,13,5,13,5,34,5,25,,
138,6,60,Caesar,9,mature,2,5,1,5,3,5,23,5,7,5,29,5,56,5,24,5,74,,
139,6,61,Hwy 27,8,mature,2,5,2,4,2,3,3,3,2,3,6,3,8,3,5,3,18,,
140,6,62,Caesar,5,mature,2,5,2,5,4,4,9,4,3,4,12,4,27,4,22,4,34,,
141,6,63,TT,10,mature,2,5,2,5,5,4,21,3,5,3,31,3,27,3,18,3,100,,
142,6,64,Tiri,22,mature,2,5,3,5,2,5,9,5,7,5,28,5,45,5,10,5,72,,
143,6,65,McPhee,2,mature,2,5,2,5,12,5,21,5,21,5,68,5,34,4,33,4,88,,
144,6,66,With,47,mature,2,5,4,5,3,5,5,5,4,5,6,4,2,4,11,4,14,,
145,6,67,Center Hill,2,mature,2,5,2,5,8,5,32,5,15,5,36,5,31,5,16,5,80,,
146,6,68,Dalton,2,mature,2,5,2,5,10,5,13,5,6,5,26,5,11,5,23,5,30,,
147,6,69,Center Hill,8,mature,2,5,0,5,5,5,21,5,13,5,40,5,36,5,26,4,44,,
148,6,70,Dalton,6,mature,2,5,2,5,9,5,23,5,11,5,38,5,40,5,37,5,112,,
149,6,71,TT,5,mature,2,5,3,5,4,5,18,4,10,4,24,4,30,4,39,4,11,,
150,6,72,Hwy 27,3,mature,2,5,3,5,5,5,13,4,6,4,9,4,32,4,34,4,13,,
151,6,73,Bella,4,mature,2,5,4,5,4,5,10,5,6,5,18,5,17,5,16,5,35,,
152,6,74,Center Hill,1,mature,2,5,1,5,5,5,19,5,13,5,14,5,22,5,30,5,28,,
153,6,75,Gen Butler,2,mature,2,5,2,5,4,5,20,5,10,5,40,5,37,5,38,5,128,,
154,6,76,Whitehall,2,mature,2,5,2,4,5,4,7,4,8,4,14,4,30,4,10,4,12,,
155,6,77,HV,7,mature,2,3,1,3,3,3,10,3,6,3,11,3,12,3,5,3,58,,
156,6,78,McPhee,1,mature,2,3,3,3,3,3,12,3,12,3,6,3,26,3,40,3,13,,
157,7,1,Whitehall,18,mature,3,3,1,3,2,3,1,3,3,3,10,3,8,3,21,3,25,,
158,7,2,MacArthur,5,mature,3,5,1,5,2,5,1,4,1,3,3,2,4,2,3,2,18,,
159,7,3,Gen Butler,3,mature,3,5,2,5,4,5,2,5,7,5,12,5,23,5,24,5,46,,
160,7,4,Center Hill,7,mature,3,5,2,5,3,5,1,4,5,4,4,4,2,4,7,4,22,,
161,7,5,KBS,9,mature,3,5,4,5,3,5,4,5,12,5,9,5,32,5,31,5,64,,
162,7,6,OCM,10,mature,3,4,0,4,5,4,1,3,2,3,2,3,2,3,3,3,9,,
163,7,7,Dalton,4,mature,3,5,2,5,3,5,2,5,6,5,6,5,11,5,18,5,40,,
164,7,8,KBS,2,mature,3,5,2,5,5,5,2,5,6,5,7,5,16,5,22,5,60,,
165,7,9,Center Hill,3,mature,3,5,1,5,5,5,5,5,8,5,18,5,18,5,25,5,64,,
166,7,10,Dalton,8,mature,3,5,2,5,2,5,2,5,7,4,8,4,13,4,15,4,38,,
167,7,11,McPhee,8,mature,3,5,2,5,6,5,4,5,12,5,17,5,34,5,31,5,84,,
168,7,12,OCM,17,mature,3,5,2,5,2,5,3,5,2,4,2,4,5,4,3,4,20,,
169,7,13,With,43,mature,3,5,2,5,1,5,1,5,4,5,3,4,2,4,9,4,17,,
170,7,14,Bella,2,mature,3,4,0,4,1,4,2,3,1,3,6,3,4,3,11,3,24,,
171,7,15,HV,3,mature,3,5,1,5,3,4,1,3,8,3,8,3,17,3,21,3,64,,
172,7,16,Whitehall,16,mature,3,5,1,5,4,3,3,3,2,3,5,3,4,3,11,3,23,,
173,7,17,Bella,3,mature,3,5,3,5,4,5,2,5,10,5,10,5,6,5,50,5,18,,
174,7,18,HV,10,mature,3,5,2,5,6,5,7,5,5,5,8,5,11,5,15,5,22,,
175,7,19,McPhee,7,mature,3,4,2,4,5,4,3,4,5,4,12,4,14,4,28,4,34,,
