pop,line,lat,age,biomass,surv,area
,,,,,,
Bella,Bella_13,8.79,mature,0.292536944,4.75,0.179686655
,,,,,,
Bella,Bella_13,8.79,young,0.00253564,0.333333333,0.037681132
,,,,,,
Bella,Bella_2,8.79,mature,0.167273912,3.5,0.16372522
,,,,,,
Bella,Bella_2,8.79,young,0,0,0.075637102
,,,,,,
Bella,Bella_21,8.79,mature,0.069870586,3.25,0.135772994
,,,,,,
Bella,Bella_21,8.79,young,0,0,0.134377452
,,,,,,
Bella,Bella_3,8.79,mature,0.191968446,4.75,0.167993533
,,,,,,
Bella,Bella_3,8.79,young,0.001917196,0.333333333,0.113043396
,,,,,,
Bella,Bella_4,8.79,mature,0.197591516,4.75,0.165985941
,,,,,,
Caesar,Caesar_10,39.4887,mature,0.220336437,4.25,0.169504337
,,,,,,
Caesar,Caesar_10,39.4887,young,0.147041768,2,0.191018363
,,,,,,
Caesar,Caesar_5,39.4887,mature,0.280388563,4.5,0.179321053
,,,,,,
Caesar,Caesar_5,39.4887,young,0.220459284,3,0.242037908
,,,,,,
Caesar,Caesar_7,39.4887,mature,0.310820822,4.5,0.187900937
,,,,,,
Caesar,Caesar_7,39.4887,young,0.098998097,2.5,0.215543047
,,,,,,
Caesar,Caesar_9,39.4887,mature,0.192852792,3.75,0.157430314
,,,,,,
Caesar,Caesar_9,39.4887,young,0.109750501,2,0.218629408
,,,,,,
Center Hill,Center Hill_1,36.06935,mature,0.147546982,3.25,0.160937373
,,,,,,
Center Hill,Center Hill_1,36.06935,young,0.133449022,2.666666667,0.219827112
,,,,,,
Center Hill,Center Hill_2,36.06935,mature,0.153652596,4.5,0.16836979
,,,,,,
Center Hill,Center Hill_2,36.06935,young,0.11216849,3,0.210820865
,,,,,,
Center Hill,Center Hill_3,36.06935,mature,0.217356778,4.5,0.172623174
,,,,,,
Center Hill,Center Hill_3,36.06935,young,0.070087116,2.333333333,0.193344961
,,,,,,
Center Hill,Center Hill_7,36.06935,mature,0.123311047,4,0.156334858
,,,,,,
Center Hill,Center Hill_7,36.06935,young,0.039941797,2.333333333,0.188139462
,,,,,,
Center Hill,Center Hill_8,36.06935,mature,0.198664394,4.25,0.174680562
,,,,,,
Center Hill,Center Hill_8,36.06935,young,0.10414802,2.333333333,0.216739956
,,,,,,
Dalton,Dalton_2,34.670883,mature,0.225687271,4.25,0.171218327
,,,,,,
Dalton,Dalton_2,34.670883,young,0.164916985,2.666666667,0.228095428
,,,,,,
Dalton,Dalton_4,34.670883,mature,0.176615881,4.5,0.170204571
,,,,,,
Dalton,Dalton_4,34.670883,young,0.083005983,2,0.190552079
,,,,,,
Dalton,Dalton_6,34.670883,mature,0.271953937,4.5,0.179101346
,,,,,,
Dalton,Dalton_6,34.670883,young,0.142326786,3,0.225787146
,,,,,,
Dalton,Dalton_8,34.670883,mature,0.221363995,3.75,0.172578498
,,,,,,
Dalton,Dalton_8,34.670883,young,0.072117141,1.666666667,0.172980437
,,,,,,
Dalton,Dalton_9,34.670883,mature,0.070842948,3,0.143731342
,,,,,,
Dalton,Dalton_9,34.670883,young,0.0718225,1.666666667,0.16867068
,,,,,,
Gav,Gav_1,8.72883,mature,0.206230601,4,0.168519856
,,,,,,
Gav,Gav_1,8.72883,young,0.004617063,1,0.07218466
,,,,,,
Gav,Gav_22,8.72883,mature,0.137709012,4,0.150575987
,,,,,,
Gav,Gav_22,8.72883,young,0,0,0.07218466
,,,,,,
Gav,Gav_23,8.72883,mature,0.135564036,4,0.152808241
,,,,,,
Gav,Gav_23,8.72883,young,0,0,0.029693804
,,,,,,
Gav,Gav_6,8.72883,mature,0.124208365,4,0.15899457
,,,,,,
Gen Butler,Gen Butler_1,38.675517,mature,0.191837885,3.25,0.151201386
,,,,,,
Gen Butler,Gen Butler_1,38.675517,young,0.082526495,1.666666667,0.210561626
,,,,,,
Gen Butler,Gen Butler_2,38.675517,mature,0.27004176,4.75,0.183595071
,,,,,,
Gen Butler,Gen Butler_2,38.675517,young,0.177057224,2.666666667,0.221499221
,,,,,,
Gen Butler,Gen Butler_3,38.675517,mature,0.226093441,5,0.174914478
,,,,,,
Gen Butler,Gen Butler_3,38.675517,young,0.039422186,1.666666667,0.150229499
,,,,,,
Gen Butler,Gen Butler_7,38.675517,mature,0.190793943,4.75,0.167528373
,,,,,,
Gen Butler,Gen Butler_7,38.675517,young,0.072661328,1.333333333,0.18800742
,,,,,,
Gen Butler,Gen Butler_9,38.675517,mature,0.240306672,4.25,0.175857053
,,,,,,
Gen Butler,Gen Butler_9,38.675517,young,0.057976679,2,0.17423917
,,,,,,
HV,HV_10,37.1818,mature,0.157166838,4.5,0.170556347
,,,,,,
HV,HV_10,37.1818,young,0.059798762,2,0.201935961
,,,,,,
HV,HV_13,37.1818,mature,0.267872617,4.25,0.18520413
,,,,,,
HV,HV_13,37.1818,young,0.175852403,2.666666667,0.24702433
,,,,,,
HV,HV_3,37.1818,mature,0.274822938,3.75,0.178385025
,,,,,,
HV,HV_3,37.1818,young,0.024492959,1.333333333,0.176509792
,,,,,,
HV,HV_5,37.1818,mature,0.202354559,3.75,0.169758967
,,,,,,
HV,HV_5,37.1818,young,0.067358627,2,0.191070257
,,,,,,
HV,HV_7,37.1818,mature,0.247068787,4,0.177860382
,,,,,,
HV,HV_7,37.1818,young,0.14067958,2.333333333,0.21368887
,,,,,,
Hwy 27,Hwy 27_1,26.537067,mature,0.139624699,3.75,0.155172934
,,,,,,
Hwy 27,Hwy 27_1,26.537067,young,0.008184014,1.333333333,0.105056067
,,,,,,
Hwy 27,Hwy 27_2,26.537067,mature,0.150890573,4.25,0.153710934
,,,,,,
Hwy 27,Hwy 27_2,26.537067,young,0.012232397,1.333333333,0.086319391
,,,,,,
Hwy 27,Hwy 27_3,26.537067,mature,0.144840835,3.5,0.165161065
,,,,,,
Hwy 27,Hwy 27_3,26.537067,young,0.004272225,1,0.078332062
,,,,,,
Hwy 27,Hwy 27_6,26.537067,mature,0.099964631,3.333333333,0.142487073
,,,,,,
Hwy 27,Hwy 27_6,26.537067,young,0.012144286,1.333333333,0.129567728
,,,,,,
Hwy 27,Hwy 27_8,26.537067,mature,0.138527567,3.75,0.154164311
,,,,,,
Hwy 27,Hwy 27_8,26.537067,young,0.00057881,0.333333333,0.037681132
,,,,,,
KBS,KBS_12,42.399933,mature,0.127784696,4,0.157904032
,,,,,,
KBS,KBS_12,42.399933,young,0.055119919,1.333333333,0.132772385
,,,,,,
KBS,KBS_2,42.399933,mature,0.277270712,4.5,0.182326559
,,,,,,
KBS,KBS_2,42.399933,young,0.100185681,2.333333333,0.207350874
,,,,,,
KBS,KBS_5,42.399933,mature,0.144745871,4,0.161407466
,,,,,,
KBS,KBS_5,42.399933,young,0.071429424,2.333333333,0.192253571
,,,,,,
KBS,KBS_8,42.399933,mature,0.176850892,4.5,0.171027203
,,,,,,
KBS,KBS_8,42.399933,young,0.143239827,2.666666667,0.219869485
,,,,,,
KBS,KBS_9,42.399933,mature,0.248621836,4.75,0.172609357
,,,,,,
KBS,KBS_9,42.399933,young,0.026765609,2,0.178905594
,,,,,,
MacArthur,MacArthur_15,27.177583,mature,0.119611007,4,0.144016896
,,,,,,
MacArthur,MacArthur_15,27.177583,young,0.012809702,1.666666667,0.12009836
,,,,,,
MacArthur,MacArthur_16,27.177583,mature,0.168062235,4.5,0.158144009
,,,,,,
MacArthur,MacArthur_16,27.177583,young,0.014753619,1.666666667,0.13268244
,,,,,,
MacArthur,MacArthur_21,27.177583,mature,0.050464772,3,0.128700052
,,,,,,
MacArthur,MacArthur_21,27.177583,young,0,0,0
,,,,,,
MacArthur,MacArthur_22,27.177583,mature,0.117934443,4.5,0.148446604
,,,,,,
MacArthur,MacArthur_22,27.177583,young,0.00386783,1.333333333,0.067374935
,,,,,,
MacArthur,MacArthur_5,27.177583,mature,0.089916072,3.25,0.146993778
,,,,,,
MacArthur,MacArthur_5,27.177583,young,0.007666367,1.666666667,0.109865791
,,,,,,
McPhee,McPhee_1,40.971333,mature,0.122931987,3.333333333,0.166053567
,,,,,,
McPhee,McPhee_1,40.971333,young,0.035729038,1.666666667,0.180719157
,,,,,,
McPhee,McPhee_2,40.971333,mature,0.199251851,3.5,0.177250678
,,,,,,
McPhee,McPhee_2,40.971333,young,0.114441854,2,0.189733765
,,,,,,
McPhee,McPhee_6,40.971333,mature,0.30150648,4.5,0.184286087
,,,,,,
McPhee,McPhee_6,40.971333,young,0.126330525,3,0.220692324
,,,,,,
McPhee,McPhee_7,40.971333,mature,0.164547693,3.25,0.173185658
,,,,,,
McPhee,McPhee_7,40.971333,young,0.062839087,2.333333333,0.184354023
,,,,,,
McPhee,McPhee_8,40.971333,mature,0.263695653,4.75,0.18592786
,,,,,,
McPhee,McPhee_8,40.971333,young,0.077878621,2.333333333,0.209097981
,,,,,,
OCM,OCM_10,32.34554,mature,0.13130824,3.666666667,0.154290342
,,,,,,
OCM,OCM_10,32.34554,young,0.024989332,1.666666667,0.108511101
,,,,,,
OCM,OCM_16,32.34554,mature,0.179991489,3.75,0.156715305
,,,,,,
OCM,OCM_16,32.34554,young,0.061700926,2,0.179605348
,,,,,,
OCM,OCM_17,32.34554,mature,0.132304208,3.75,0.160726395
,,,,,,
OCM,OCM_17,32.34554,young,0.082338627,2.666666667,0.202873384
,,,,,,
OCM,OCM_18,32.34554,mature,0.203033856,4.5,0.167540202
,,,,,,
OCM,OCM_18,32.34554,young,0.135479896,2.5,0.209016031
,,,,,,
OCM,OCM_5,32.34554,mature,0.207836698,4.25,0.175542584
,,,,,,
OCM,OCM_5,32.34554,young,0.119736985,3,0.218289148
,,,,,,
Tiri,Tiri_1,10.41549,mature,0.198493313,4.25,0.169597015
,,,,,,
Tiri,Tiri_12,10.41549,mature,0.162129056,3.75,0.162664585
,,,,,,
Tiri,Tiri_12,10.41549,young,0.010536985,0.666666667,0.135016571
,,,,,,
Tiri,Tiri_16,10.41549,mature,0.130170329,3.25,0.150826067
,,,,,,
Tiri,Tiri_16,10.41549,young,0,0,0.097068739
,,,,,,
Tiri,Tiri_22,10.41549,mature,0.257834334,4.5,0.181045943
,,,,,,
Tiri,Tiri_22,10.41549,young,0.006889492,0.666666667,0.086319391
,,,,,,
Tiri,Tiri_5,10.41549,mature,0.195808898,4.5,0.166941029
,,,,,,
Tiri,Tiri_5,10.41549,young,0,0,0
,,,,,,
TT,TT_10,30.673889,mature,0.205271282,3,0.177579136
,,,,,,
TT,TT_10,30.673889,young,0.120248914,3,0.215179516
,,,,,,
TT,TT_25,30.673889,mature,0.218160145,4.75,0.163552878
,,,,,,
TT,TT_25,30.673889,young,0.060923361,2,0.184236469
,,,,,,
TT,TT_5,30.673889,mature,0.191027981,4,0.170855625
,,,,,,
TT,TT_5,30.673889,young,0.104907821,2.666666667,0.211647273
,,,,,,
TT,TT_7,30.673889,mature,0.186302103,4.5,0.162978329
,,,,,,
TT,TT_7,30.673889,young,0.070876264,2,0.197913532
,,,,,,
TT,TT_9,30.673889,mature,0.199407593,4.25,0.164769881
,,,,,,
TT,TT_9,30.673889,young,0.127885702,2.666666667,0.223600485
,,,,,,
Whitehall,Whitehall_16,33.895767,mature,0.126965072,3.5,0.162208228
,,,,,,
Whitehall,Whitehall_16,33.895767,young,0.01870998,1.666666667,0.135187206
,,,,,,
Whitehall,Whitehall_17,33.895767,mature,0.203922961,4.25,0.169934274
,,,,,,
Whitehall,Whitehall_17,33.895767,young,0.126601077,2,0.205649022
,,,,,,
Whitehall,Whitehall_18,33.895767,mature,0.140359398,3.75,0.159172512
,,,,,,
Whitehall,Whitehall_18,33.895767,young,0.051427888,1.333333333,0.180934628
,,,,,,
Whitehall,Whitehall_2,33.895767,mature,0.138749402,3.75,0.152592883
,,,,,,
Whitehall,Whitehall_2,33.895767,young,0.116251029,3,0.214848498
,,,,,,
Whitehall,Whitehall_3,33.895767,mature,0.164305882,4.25,0.154250043
,,,,,,
Whitehall,Whitehall_3,33.895767,young,0.041071257,1.333333333,0.15870752
,,,,,,
With,With_42,28.60387,mature,0.1019518,4,0.143692482
,,,,,,
With,With_42,28.60387,young,0.005857204,1.333333333,0.109865791
,,,,,,
With,With_43,28.60387,mature,0.111534273,4,0.141397967
,,,,,,
With,With_43,28.60387,young,0.015721088,1,0.139412106
,,,,,,
With,With_46,28.60387,mature,0.069272271,3.5,0.13926966
,,,,,,
With,With_46,28.60387,young,0.00746552,1.333333333,0.08362443
,,,,,,
With,With_47,28.60387,mature,0.126551729,3.666666667,0.156173861
,,,,,,
With,With_47,28.60387,young,0.007958382,0.666666667,0.037681132
,,,,,,
With,With_48,28.60387,mature,0.13403967,3.5,0.153769679
,,,,,,
With,With_48,28.60387,young,0.015247895,2,0.139767374